StationID,B,Bw,Bh,G,Gw,Gh,S,Sw,Sh
500220011,5579,4133,1446,11551,7568,3983,136,94,42
500220012,2635,1834,801,14500,9911,4589,131,50,81
500220013,11920,7997,3923,5311,3788,1523,35,10,25
500220014,464,392,72,16700,11301,5399,101,101,0
500220015,7478,5022,2456,9622,6617,3005,165,155,10
500220016,4388,3047,1341,12866,8736,4130,11,11,0
500220017,1515,1355,160,15734,10439,5295,16,0,16
500220019,4194,3423,771,12186,7806,4380,885,565,320
500223001,5696,3935,1761,11196,7723,3473,374,137,237
500223002,4624,3498,1126,12389,8050,4339,253,247,6
500223003,2262,1285,977,14783,10333,4450,221,177,44
500223004,3227,2346,881,13771,9181,4590,268,268,0
500223005,4896,3208,1688,12299,8516,3783,71,71,0
500223006,1249,940,309,15928,10803,5125,89,52,37
500223007,522,331,191,16359,11151,5208,385,313,72
500223008,3862,3078,784,11372,7314,4058,2032,1403,629
500223009,3245,2263,982,13823,9479,4344,198,53,145
500223010,2945,2218,727,14292,9577,4715,29,0,29
500223011,5065,3674,1391,12017,8021,3996,184,100,84
500223012,5146,3780,1366,12063,7982,4081,57,33,24
500223013,2855,2176,679,14068,9458,4610,343,161,182
500223014,1395,990,405,15281,10463,4818,590,342,248
500223015,1713,1341,372,14861,9881,4980,692,573,119
500223016,2195,950,1245,14922,10730,4192,149,115,34
500223017,1759,1291,468,15275,10426,4849,232,78,154
500223018,7231,5120,2111,10020,6662,3358,15,13,2
500223019,4676,3001,1675,12590,8794,3796,0,0,0
500223020,5074,4084,990,12105,7667,4438,87,44,43
500223021,5647,4184,1463,11542,7553,3989,77,58,19
500223022,5034,4087,947,12232,7708,4524,0,0,0
500223023,5159,3908,1251,12068,7871,4197,39,16,23
500223024,4002,3078,924,13113,8570,4543,151,147,4
500223025,2223,1847,376,14593,9693,4900,450,255,195
500223026,5771,4446,1325,11495,7349,4146,0,0,0
500223027,8411,5575,2836,8769,6149,2620,86,71,15
500223028,5620,4062,1558,11523,7707,3816,123,26,97
500223029,3757,2100,1657,13430,9690,3740,79,5,74
500223030,4572,3408,1164,12613,8334,4279,81,53,28
