StationID,B,Bw,Bh,G,Gw,Gh,S,Sw,Sh
500218121,2313,1769,544,6570,4238,2332,28,28,0
500218122,2568,1803,765,5817,3761,2056,526,471,55
500218123,2171,1529,642,6690,4456,2234,50,50,0
500218124,2571,2053,518,6250,3977,2273,90,5,85
500218126,1855,1407,448,7048,4628,2420,8,0,8
500218127,4881,3219,1662,3307,2166,1141,723,650,73
500218128,2823,2072,751,5581,3621,1960,507,342,165
500218129,2781,2446,335,5782,3501,2281,348,88,260
500218130,2356,1557,799,6292,4245,2047,263,233,30
500218131,2507,1663,844,6325,4293,2032,79,79,0
500218132,2527,1948,579,6292,4059,2233,92,28,64
500218133,2762,2121,641,5401,3364,2037,748,550,198
500218134,4667,3309,1358,3128,1803,1325,1116,923,193
500218135,3955,2967,988,3670,1949,1721,1286,1119,167
500218136,4106,2997,1109,3302,2063,1239,1503,975,528
500218137,2047,1696,351,6353,4150,2203,511,189,322
500218138,2183,1644,539,6656,4389,2267,72,2,70
500218139,1144,921,223,7757,5114,2643,10,0,10
500218140,2206,1742,464,6517,4202,2315,188,91,97
500218141,2938,2342,596,5319,3594,1725,654,99,555
500218142,724,517,207,6975,4756,2219,1212,762,450
500218143,832,244,588,7940,5695,2245,139,96,43
500218144,1886,1808,78,6785,4171,2614,240,56,184
500218145,1804,1367,437,6739,4331,2408,368,337,31
500218146,1451,1089,362,7243,4808,2435,217,138,79
500218148,3784,2544,1240,4874,3279,1595,253,212,41
500218149,2605,1785,820,5871,3899,1972,435,351,84
500218150,2199,1464,735,5649,3628,2021,1063,943,120
500218151,1136,925,211,7411,4840,2571,364,270,94
500218152,2968,2178,790,5796,3735,2061,147,122,25
500218153,1172,901,271,7524,4969,2555,215,165,50
500218154,4169,3044,1125,4465,2824,1641,277,167,110
500218155,863,663,200,8019,5351,2668,29,21,8
500218156,675,432,243,8236,5603,2633,0,0,0
500218157,1824,1451,373,6953,4483,2470,134,101,33
500218158,2045,1595,450,6765,4339,2426,101,101,0
500218159,1426,903,523,7485,5132,2353,0,0,0
500218160,3087,2209,878,4982,3293,1689,842,533,309
500218161,2720,1783,937,6112,4225,1887,79,27,52
500218162,3524,2362,1162,5139,3475,1664,248,198,50
500218163,1236,882,354,7507,5039,2468,168,114,54
500218164,376,376,0,7631,5125,2506,904,534,370
500218165,1921,1419,502,6374,4246,2128,616,370,246
500218166,1911,1340,571,6290,4117,2173,710,578,132
500218168,589,202,387,8072,5647,2425,250,186,64
500218169,539,171,368,8371,5864,2507,1,0,1
500218170,1629,1415,214,7245,4599,2646,37,21,16
500218175,1969,1508,461,6793,4506,2287,149,21,128
500218176,663,454,209,8143,5476,2667,105,105,0
500218177,1929,1454,475,5319,3231,2088,1663,1350,313
500220001,469,395,74,8380,5584,2796,62,56,6
500220002,1174,1083,91,7737,4952,2785,0,0,0
500220003,943,701,242,7968,5334,2634,0,0,0
500220004,1212,867,345,7699,5168,2531,0,0,0
500220005,822,458,364,7971,5472,2499,118,105,13
500220006,562,375,187,8325,5636,2689,24,24,0
500220007,1090,830,260,7702,5164,2538,119,41,78
500220008,1617,1112,505,7146,4817,2329,148,106,42
500220009,933,883,50,7958,5152,2806,20,0,20
500220010,1117,708,409,7492,5092,2400,302,235,67
500220011,1712,1359,353,7014,4529,2485,185,147,38
500220012,940,541,399,7712,5335,2377,259,159,100
500220013,8911,6035,2876,0,0,0,0,0,0
500220014,202,112,90,8687,5901,2786,22,22,0
500220015,3696,2591,1105,5067,3354,1713,148,90,58
500220016,712,464,248,8079,5451,2628,120,120,0
500220017,432,368,64,8410,5598,2812,69,69,0
500220019,2410,1780,630,6081,3922,2159,420,333,87
500223001,1815,1294,521,7081,4739,2342,15,2,13
500223002,1662,1197,465,7225,4814,2411,24,24,0
500223003,314,246,68,8473,5719,2754,124,70,54
500223004,905,542,363,7839,5326,2513,167,167,0
500223005,1524,1270,254,7387,4765,2622,0,0,0
500223006,481,431,50,8409,5595,2814,21,9,12
500223007,361,139,222,8518,5886,2632,32,10,22
500223008,1961,1514,447,6774,4349,2425,176,172,4
500223009,1383,1070,313,7479,4954,2525,49,11,38
500223010,1503,926,577,7408,5109,2299,0,0,0
500223011,1168,870,298,7347,4919,2428,396,246,150
500223012,3355,2203,1152,5528,3821,1707,28,11,17
500223013,1075,842,233,7809,5193,2616,27,0,27
500223014,614,395,219,8091,5540,2551,206,100,106
500223015,834,554,280,7908,5337,2571,169,144,25
500223016,312,44,268,8564,5984,2580,35,7,28
500223017,360,35,325,8498,5995,2503,53,5,48
500223018,3259,2416,843,5650,3617,2033,2,2,0
500223019,628,319,309,8283,5716,2567,0,0,0
500223020,1483,1057,426,7323,4886,2437,105,92,13
500223021,2075,1459,616,6779,4576,2203,57,0,57
500223022,996,884,112,7873,5109,2764,42,42,0
500223023,1422,1138,284,7489,4897,2592,0,0,0
500223024,1803,1415,388,7108,4620,2488,0,0,0
500223025,376,212,164,8400,5762,2638,135,61,74
500223026,1892,1363,529,7015,4668,2347,4,4,0
500223027,3038,1923,1115,5633,3882,1751,240,230,10
500223028,1494,871,623,7397,5164,2233,20,0,20
500223029,1006,772,234,7880,5247,2633,25,16,9
500223030,1228,927,301,7680,5108,2572,3,0,3
500223031,1414,898,516,7205,4886,2319,292,251,41
500223032,8911,6035,2876,0,0,0,0,0,0
500223033,2580,1610,970,6322,4417,1905,9,8,1
500223034,1092,790,302,7778,5245,2533,41,0,41
500223035,375,212,163,8402,5751,2651,134,72,62
500223036,388,197,191,8523,5838,2685,0,0,0
500223037,1790,1343,447,7121,4692,2429,0,0,0
500223038,1071,910,161,7782,5109,2673,58,16,42
500223039,286,233,53,8459,5792,2667,166,10,156
500223040,1658,1510,148,7253,4525,2728,0,0,0
500223041,1977,1460,517,5760,4093,1667,1174,482,692
500223042,1189,917,272,7384,4941,2443,338,177,161
500223043,1177,999,178,7565,4896,2669,169,140,29
500223044,710,457,253,8201,5578,2623,0,0,0
500223045,382,284,98,8501,5739,2762,28,12,16
500223046,1,1,0,8786,5917,2869,124,117,7
500223047,371,188,183,8464,5847,2617,76,0,76
500223048,1450,993,457,7424,5013,2411,37,29,8
500223049,612,355,257,8199,5590,2609,100,90,10
500223050,1730,1296,434,7044,4681,2363,137,58,79
500223051,389,301,88,8154,5480,2674,368,254,114
500223052,846,459,387,7887,5398,2489,178,178,0
500223053,1103,1003,100,7574,4907,2667,234,125,109
500223054,50,7,43,8604,5896,2708,257,132,125
500223055,361,146,215,8287,5652,2635,263,237,26
500223056,2136,1655,481,6567,4183,2384,208,197,11
500223057,681,345,336,7792,5534,2258,438,156,282
500223058,663,274,389,8137,5658,2479,111,103,8
500223059,622,320,302,8203,5644,2559,86,71,15
500223060,828,527,301,7878,5370,2508,205,138,67
500223061,334,195,139,8270,5638,2632,307,202,105
500223063,912,234,678,7995,5797,2198,4,4,0
500223064,1527,1399,128,7384,4636,2748,0,0,0
500223065,1891,1525,366,7002,4492,2510,18,18,0
500224001,14,4,10,8897,6031,2866,0,0,0
500224002,803,703,100,7699,5015,2684,409,317,92
